"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"File","Save","⌘S","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Terminal view commands","Paste","⌘V","Terminal Widget in Focus"
"File","Refresh","F5","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Window","Quick Access","⌘3","In Windows"
"Navigate","Backward History","⌘←","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Terminal view commands","Copy","⌘Insert","Terminal Widget in Focus"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"File","Properties","⌘I","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Uncategorized","View webx model","⇧⌥⌘E","In jeju editor"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Window","Next View","⌘F7","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Window","Update Project","⌥F5","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Window","Previous Editor","⇧⌘F6","In Windows"
"File","New","⌘N","In Windows"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Navigate","Next Page","⌥F7","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"File","Properties","⌥↩","In Windows"
"File","Print","⌘P","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Delete Line","⌘D","Editing Text"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Refactor - JavaScript","Rename - Refactoring ","⌘R","JavaScript View"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Uncategorized","View vm javacode","⇧⌥⌘J","In jeju editor"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Server","Run","⌥⌘R","In Servers View"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Server","Run","⌥⌘R","In Servers View"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Run/Debug","Step Into","⌘;","Debugging"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Refactor - Java","Rename - Refactoring ","⌘R","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Run/Debug","Execute","⌘U","In Windows"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Server","Stop","⌥⌘S","In Servers View"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Text Editing","Previous Word","⌥←","Editing Text"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Terminal view commands","Paste","⇧Insert","Terminal Widget in Focus"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Source","Surround With Quick Menu","⌃⌘Z","In Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Run/Debug","Step Return","⇧⌘;","Debugging"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Project","Build All","⌘B","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Edit","Context Information","⌥?","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Server","Publish","⌥⌘P","In Servers View"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Window","Close Dialog","⌘W","In Dialogs"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Search","Open Search Dialog","⌃H","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Context Information","⇧⌥?","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Server","Stop","⌥⌘S","In Servers View"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Source","Surround With Quick Menu","⌃⌘Z","JavaScript View"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"View","Zoom In","⌘=","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Terminal view commands","Quick Access","⌥→","Terminal Widget in Focus"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Widget in Focus"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Source","Show Source Quick Menu","⌃⌘S","JavaScript View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Edit","Add Block Comment","⌃/","Editing in Structured Text Editors"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Edit","Find and Replace","⌘F","In Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Navigate","Open Declaration","F3","JavaScript View"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"File","Close","⌘W","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"ProjectCreation","ProjectCreation File Edit","⇧⌥⌘E","Jeju View Scope"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Text Editing","Text End","⌘↘","Editing Text"
